id,nom,prenom,age,email,numero_telephone,sexe
1,Roux,Jean,65,jean.roux@email.com,+33634845447,Autre
2,Dupont,Thomas,79,thomas.dupont@email.com,+33645871052,F
3,Bernard,Jean,21,jean.bernard@email.com,+33649764604,Autre
4,Lefevre,Marie,75,marie.lefevre@email.com,+33679824312,F
5,Dupont,Emma,50,emma.dupont@email.com,+33659066291,F
6,Roux,Luc,44,luc.roux@email.com,+33640144171,F
7,Martin,Luc,33,luc.martin@email.com,+33638472435,M
8,Girard,Marie,42,marie.girard@email.com,+33690722231,Autre
9,Lefevre,Emma,32,emma.lefevre@email.com,+33681639485,Autre
10,Durand,Sophie,38,sophie.durand@email.com,+33632540344,M
11,Dupont,Thomas,22,thomas.dupont@email.com,+33670460955,M
12,Moreau,Sophie,36,sophie.moreau@email.com,+33695829285,F
13,Moreau,Marie,71,marie.moreau@email.com,+33679678216,F
14,Roux,Jean,25,jean.roux@email.com,+33633022541,Autre
15,Lefevre,Claire,53,claire.lefevre@email.com,+33648278292,F
16,Roux,Paul,73,paul.roux@email.com,+33670302237,F
17,Moreau,Claire,71,claire.moreau@email.com,+33672867601,Autre
18,Bernard,Marie,53,marie.bernard@email.com,+33637846483,M
19,Moreau,Luc,33,luc.moreau@email.com,+33649397679,Autre
20,Martin,Claire,56,claire.martin@email.com,+33620951604,F
21,Bernard,Claire,64,claire.bernard@email.com,+33677331039,M
22,Girard,Luc,56,luc.girard@email.com,+33661809532,Autre
23,Lefevre,Sophie,75,sophie.lefevre@email.com,+33641362296,M
24,Girard,Jean,22,jean.girard@email.com,+33624826036,F
25,Lefevre,Sophie,69,sophie.lefevre@email.com,+33663168334,M
26,Lefevre,Luc,33,luc.lefevre@email.com,+33658761789,F
27,Roux,Sophie,41,sophie.roux@email.com,+33670396735,Autre
28,Moreau,Thomas,48,thomas.moreau@email.com,+33626335189,F
29,Roux,Claire,23,claire.roux@email.com,+33615795120,F
30,Dupont,Claire,31,claire.dupont@email.com,+33661681527,M
31,Martin,Thomas,22,thomas.martin@email.com,+33615829402,F
32,Lefevre,Marie,26,marie.lefevre@email.com,+33688051155,M
33,Girard,Paul,52,paul.girard@email.com,+33624000370,M
34,Dupont,Marie,26,marie.dupont@email.com,+33657051515,M
35,Roux,Sophie,31,sophie.roux@email.com,+33630173232,F
36,Lefevre,Marie,35,marie.lefevre@email.com,+33652152565,Autre
